rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
149,,1573,1027739857958.0,"ПАО ""РосДорБанк""",ПАО,1991-09-25,Действующая,"115093,  г. Москва, ул. Дубининская, дом 86",1573,"ПАО ""РосДорБанк""",РОСДОРБАНК
150,,1598,1037739001079.0,"ОАО АКБ ""Лесбанк""",ОАО (АО),1991-10-25,Отозванная,"107031, г. Москва, Дмитровский пер., д.3, стр.4",1598,"ОАО АКБ ""Лесбанк""",ЛЕСБАНК
151,,1637,1027739296584.0,"""СДМ-Банк"" (ПАО)",ПАО,1991-11-29,Действующая,"125424,  г. Москва, Волоколамское шоссе, д.73",1637,"""СДМ-Банк"" (ПАО)",СДМ-БАНК
152,,1639,1027739572740.0,"КБ ""Метрополь"" ООО",ООО (Паевое),1991-12-02,Отозванная,"119049,  г. Москва, ул.Донская, д.7, стр.3",1639,"КБ ""Метрополь"" ООО",МЕТРОПОЛЬ
153,,1640,1027739661498.0,"ОАО МКБ ""Замоскворецкий""",ОАО (АО),1991-12-02,Отозванная,"119180,  г. Москва, ул. Большая Полянка, д.42/2, стр.4",1640,"ОАО МКБ ""Замоскворецкий""",МКБ ЗАМОСКВОРЕЦКИЙ
154,,1657,1037700024581.0,"КБ ""ИНТЕРКОММЕРЦ"" (ООО)",ООО (Паевое),1991-12-10,Отозванная,"119435,  г. Москва, Большой Саввинский пер., д. 2-4-6, стр. 10",1657,"КБ ""ИНТЕРКОММЕРЦ"" (ООО)",ИНТЕРКОММЕРЦ
155,,2559,1037739412700.0,"""ЗИРААТ БАНК (МОСКВА)"" (АО)",НПАО,1993-11-01,Действующая,"109147,  г. Москва, ул.Марксистская, д.16",2559,"""ЗИРААТ БАНК (МОСКВА)"" (АО)",ЗИРААТ БАНК МОСКВА
156,,1671,1027700409791.0,"ООО КБ ""Нэклис-Банк""",ООО (Паевое),1991-12-18,Отозванная,"125009, г. Москва, ул. Большая Никитская, д. 17, стр. 2",1671,"ООО КБ ""Нэклис-Банк""",НЭКЛИС-БАНК
157,,1677,1027739042572.0,"АБ ""БПФ"" (ЗАО)",ЗАО (АО),1991-12-24,Отозванная,"125195, г. Москва, Ленинградское шоссе, д. 59",1677,"АБ ""БПФ"" (ЗАО)",БПФ
158,,1730,1027739042495.0,"ОАО ""ПРБ""",ОАО (АО),1992-03-27,Отозванная,"123557,  г. Москва, ул. Пресненский вал, д. 14, стр. 3",1730,"ОАО ""ПРБ""",ПРБ
159,,1736,1027739186738.0,"ООО КБ ""Жилкредит""",ООО (Паевое),1992-03-27,Отозванная,"127006, г. Москва, ул. Краснопролетарская, д. 7",1736,"ООО КБ ""Жилкредит""",ЖИЛКРЕДИТ
160,,18,1037711012525.0,"ОАО КБ ""Стройкредит""",ОАО (АО),1991-12-26,Отозванная,"109544, г. Москва, ул. Большая Андроньевская, д. 17",18,"ОАО КБ ""Стройкредит""",СТРОЙКРЕДИТ
161,,1885,1027739553764.0,"АКБ ""ФОРА-БАНК"" (АО)",НПАО,1992-05-27,Действующая,"119021,  г. Москва, Зубовский бульвар, д.25",1885,"АКБ ""ФОРА-БАНК"" (АО)",ФОРА-БАНК
162,,1920,1037739042912.0,"АКБ ""Ланта-Банк"" (АО)",НПАО,1992-06-24,Действующая,"115184,  г. Москва, ул. Новокузнецкая, д. 9, стр. 2",1920,"АКБ ""Ланта-Банк"" (АО)",ЛАНТА-БАНК
163,,1939,1027739474355.0,"ООО КБ ""Ренессанс""",ООО (Паевое),1992-06-26,Отозванная,"119330, г. Москва, Мичуринский пр-т, дом 6, корпус 3",1939,"ООО КБ ""Ренессанс""",РЕНЕССАНС
164,,1948,1247700420990.0,"АО ""Банк ДАЛЕНА""",НПАО,1992-07-08,Действующая,"111024, г. Москва, шоссе Энтузиастов, д. 17",1948,"АО ""Банк ДАЛЕНА""",ДАЛЕНА
165,,1955,1027739287355.0,"ООО ""Витас Банк""",ООО (Паевое),1992-07-14,Отозванная,"129327,  г. Москва, ул.Енисейская, д.22, корп.2",1955,"ООО ""Витас Банк""",ВИТАС БАНК
166,,1967,1027739599535.0,"ООО КБ ""Монолит""",ООО (Паевое),1992-07-24,Отозванная,"105005,  г. Москва, ул. Радио, д. 7, стр. 1",1967,"ООО КБ ""Монолит""",МОНОЛИТ
167,,1978,1027739555282.0,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",ПАО,1992-08-05,Действующая,"107045,  г. Москва, Луков переулок, д. 2, стр. 1",1978,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
168,,1982,1177700006780.0,"АО КБ ""БТФ""",НПАО,1992-07-31,Отозванная,"109012, г. Москва, ул. Никольская, д. 10",1982,"АО КБ ""БТФ""",БТФ
169,,1987,1027739097165.0,"ЗАО ""МАБ""",ЗАО (АО),1992-08-04,Отозванная,"125167,  г. Москва, Ленинградский проспект, д. 37, корп.12",1987,"ЗАО ""МАБ""",
